id;title;address;phone;decription;electricity_price;water_price
1;user-centric Indonesia;Designer Director utilisation;(648) 829-9854;open system;97639;90978
2;seize Washington overriding;e-markets Central;(127) 378-2058;Neck grey ADP;80752;42545
3;Quetzal Secured Re-contextualized;neutral cohesive;018-175-4935;Home Loan Account;70405;45924
4;Libyan Dinar;Senior Tuna;(914) 453-9189 x6813;intuitive;33344;10681
5;Internal Kids;connect bus;(448) 996-6786;Markets;42261;37214
6;tertiary RAM Cross-platform;FTP HTTP Automotive;988.585.9457 x4351;Analyst Savings Account;88324;36083
7;Assistant tangible Director;architectures neural capacitor;443.698.6535 x219;Alabama;65372;80389
8;Avon e-tailers South Dakota;Shoes alarm Handmade;1-684-328-6382;e-commerce Computers;3114;49862
9;Tennessee Orchestrator port;Dynamic quantify Australia;1-218-167-4552;Home Loan Account payment;87213;32867
10;Massachusetts neural CFP Franc;Savings Account indexing;291.412.7273 x886;compressing Electronics;7102;9702
